price,return,direction
19.835,,0
19.845,0.0005040322687352379,1
19.9075,0.0031444589144340655,1
19.8325,-0.003774538955441861,0
19.8425,0.0005040957888727042,1
19.76,-0.004166409663171771,0
19.7875,0.001390732887408734,1
19.8525,0.003279518580098304,1
19.8875,0.0017614498766763628,1
19.985,0.004890598499381488,1
20.255,0.013419684491367002,1
20.2425,-0.0006173220765215205,0
20.1725,-0.003464063837607774,0
20.1475,-0.0012400795239951962,0
20.125,-0.001117387911902327,0
20.14,0.0007450639857891382,1
20.05,-0.004478733537837984,0
19.925,-0.006253929076299456,0
19.9325,0.0003763407182347747,1
19.865,-0.003392176127951364,0
19.9125,0.0023882859696047,1
19.92,0.0003765769202853553,1
19.89,-0.0015071592905713629,0
19.925,0.0017581318103978992,1
19.91,-0.0007531066001738086,0
19.9175,0.0003766241962791563,1
20.005,0.004383500036814242,1
20.085,0.003991025502047366,1
20.145,0.002982850832064913,1
20.205,0.002973979887126257,1
20.215,0.000494804562297358,1
20.2175,0.0001236628951059369,1
20.35,0.006532345900763892,1
20.51,0.007831660195685269,1
20.41,-0.004887595262535906,0
20.3775,-0.001593625835277925,0
20.475,0.0047732787526575905,1
20.5975,0.005965079468474893,1
20.41,-0.009144732385854618,0
20.3875,-0.0011030088746212569,0
20.31,-0.003808592354838977,0
20.305,-0.0002462144540321472,0
20.3025,-0.00012312996383229867,0
20.27,-0.0016020707105201717,0
20.22,-0.0024697468715833316,0
20.2075,-0.0006183909664629486,0
20.1825,-0.0012379303388287861,0
20.175,-0.0003716781310210809,0
19.7675,-0.02040503919306756,0
19.675,-0.004690380659477963,0
19.785,0.005575280533920725,1
20.0275,0.01218225426974714,1
19.805,-0.011171898033254876,0
19.8075,0.0001262227833799627,1
19.8375,0.001513431995267413,1
19.8425,0.00025201613036621894,1
19.875,0.001636558557502006,1
19.825,-0.002518893019483915,0
19.805,-0.0010093364470316756,0
19.8,-0.00025249337339032296,0
19.75,-0.0025284463533587487,0
19.78,0.0015178348474352771,1
19.71,-0.0035452050299372025,0
19.735,0.001267587950181572,1
19.86,0.006313949502216027,1
19.7675,-0.004668483654081503,0
19.6275,-0.007107530872671373,0
19.81,0.009255216620185787,1
19.9925,0.009170342513448488,1
20.065,0.003619800494972119,1
20.24,0.008683840700384669,1
20.31,0.003452531173028446,1
20.3075,-0.00012309964932136542,0
20.54,0.011383928557440253,1
20.4925,-0.0023152389553634553,0
20.5725,0.0038962669526824,1
20.45,-0.005972350008920343,0
20.4175,-0.0015905062385169544,0
20.1175,-0.014802293212142832,0
20.1525,0.0017382671374680107,1
20.545,0.019289252159754303,1
20.385,-0.00781826606415639,0
20.2175,-0.008250770283376636,0
20.1525,-0.003220215812221295,0
19.9225,-0.01147860388585277,0
19.7425,-0.009076073900167179,0
19.725,-0.000886805657660909,0
19.9075,0.009209678417524784,1
19.7975,-0.005540878047032298,0
19.72,-0.003922317927941217,0
19.585,-0.0068693820566945755,0
19.6875,0.005219949468057052,1
19.77,0.004181720596673605,1
19.765,-0.00025294043387667244,0
19.8,0.001769240951840781,1
19.9975,0.009925328040350224,1
20.04,0.0021230104758242475,1
20.3125,0.013506183873292348,1
20.5475,0.011502818950561785,1
20.95,0.019399367327628654,1
21.12,0.008081812469913999,1
21.2025,0.003898640415657323,1
21.32,0.005526500043925784,1
21.255,-0.0030534374868904546,0
21.31,0.002584284299772413,1
21.5975,0.013401121140376511,1
21.4325,-0.007669105680128136,0
21.52,0.00407427372280963,1
21.55,0.0013930812561730908,1
21.11,-0.02062895468952763,0
21.045,-0.003083859637695127,0
20.925,-0.0057183858469950204,0
21.04,0.005480771493970006,1
20.935,-0.005002988398402454,0
20.8125,-0.0058686317304440065,0
20.915,0.004912837153499034,1
20.7025,-0.01021213896844358,0
20.5175,-0.008976285403988515,0
20.555,0.001826039828112173,1
20.525,-0.0014605650113498827,0
20.6,0.003647420457043568,1
20.525,-0.003647420457043643,0
20.51,-0.0007310832542025161,0
20.5125,0.00012188433191992462,1
20.5875,0.003649639087549331,1
20.6075,0.0009709917014869891,1
20.6625,0.002665375941897067,1
20.665,0.00012098481655290164,1
20.7125,0.0022959347889855474,1
20.8225,0.0052967500746772785,1
20.745,-0.0037288790425273597,0
20.65,-0.004589934377789615,0
20.64,-0.0004843787936796273,0
20.6,-0.0019398648178265917,0
20.655,0.0026663450531924735,1
20.64,-0.000726480235365885,0
20.72,0.003868476777920332,1
20.71,-0.0004827419837893775,0
20.71,0.0,0
20.645,-0.003143516069439304,0
20.605,-0.0019393945472728094,0
20.51,-0.004621192706491358,0
20.3875,-0.00599060413715713,0
20.4375,0.0024494807103400402,1
20.5275,0.0043940019433346715,1
20.45,-0.0037825681119960245,0
20.5425,0.004513028334395157,1
20.7925,0.01209643393749969,1
20.72,-0.0034929273694232397,0
20.9,0.008649741579482938,1
20.945,0.002150795428232891,1
20.87,-0.0035872333098887804,0
20.79,-0.003840619219187943,0
20.5525,-0.011489513825770153,0
